ticker,total ESG score,,,,,
ARDX,36.6,,,,,
TALO,36.5,,,,,
PLSE,36.5,,,,,
FRBK,36.5,,,,,
EOLS,36.5,,,,,
NATR,36.5,,,,,
ECVT,36.5,,,,,
MTW,36.5,,,,,
NWLI,36.5,,,,,
PNT,36.5,,,,,
SUPN,36.5,,,,,
ASTR,36.4,,,,,
BRKL,36.3,,,,,
SWX,36.3,,,,,
SEEL,36.3,,,,,
TIPT,36.3,,,,,
KDNY,36.2,,,,,
ALPN,36.2,,,,,
SYRS,36.1,,,,,
UIHC,36.1,,,,,
UVV,36.1,,,,,
VLGEA,36.1,,,,,
HGEN,36.1,,,,,
NEU,36,,,,,
EOG,36,,,,,
SMG,36,,,,,
PRGO,36,,,,,
ASH,36,,,,,
MDU,36,,,,,
XOM,36,,,,,
ADM,36,,,,,
NUVA,36,,,,,
NMTR,36,,,,,
CLF,36,,,,,
EPIX,36,,,,,
RTX,36,,,,,
CMP,36,,,,,
SNEX,35.9,,,,,
MCRB,35.9,,,,,
EIGR,35.9,,,,,
CLOV,35.9,,,,,
VREX,35.9,,,,,
CNMD,35.9,,,,,
ALEC,35.8,,,,,
TEX,35.8,,,,,
OEC,35.8,,,,,
ATNX,35.8,,,,,
BBIO,35.8,,,,,
KALA,35.8,,,,,
CQP,35.8,,,,,
ESE,35.8,,,,,
JBSS,35.7,,,,,
CTBI,35.7,,,,,
MCB,35.7,,,,,
JRVR,35.7,,,,,
MPB,35.7,,,,,
MTZ,35.7,,,,,
SXT,35.7,,,,,
HARP,35.6,,,,,
CATC,35.6,,,,,
ATHX,35.6,,,,,
NPK,35.6,,,,,
SRRK,35.6,,,,,
SPWR,35.6,,,,,
CRS,35.5,,,,,
SRNE,35.5,,,,,
MTEM,35.5,,,,,
HII,35.5,,,,,
AVIR,35.5,,,,,
SAVE,35.5,,,,,
OBNK,35.5,,,,,
MYRG,35.4,,,,,
OSBC,35.4,,,,,
WSBF,35.4,,,,,
CIVB,35.4,,,,,
DK,35.4,,,,,
HZNP,35.4,,,,,
BOOM,35.4,,,,,
MBI,35.3,,,,,
VRTS,35.3,,,,,
AX,35.3,,,,,
HESM,35.3,,,,,
CMCO,35.3,,,,,
QURE,35.3,,,,,
CPK,35.2,,,,,
OCUL,35.2,,,,,
THC,35.2,,,,,
RIDE,35.2,,,,,
VGR,35.2,,,,,
EVLO,35.2,,,,,
DCO,35.2,,,,,
HOOK,35.2,,,,,
AMK,35.1,,,,,
KAI,35.1,,,,,
MEC,35.1,,,,,
DIOD,35.1,,,,,
LIND,35.1,,,,,
BA,35,,,,,
FTV,35,,,,,
DVN,35,,,,,
KHC,35,,,,,
PWR,35,,,,,
ATO,35,,,,,
COP,35,,,,,
GD,35,,,,,
X,35,,,,,
CERE,35,,,,,
MNKD,35,,,,,
AIR,34.9,,,,,
TLRY,34.9,,,,,
OCN,34.9,,,,,
OPY,34.9,,,,,
SLCA,34.9,,,,,
ZOM,34.9,,,,,
SMBK,34.9,,,,,
REYN,34.8,,,,,
VST,34.8,,,,,
SMPL,34.7,,,,,
TMDX,34.7,,,,,
RIOT,34.7,,,,,
EVRG,34.7,,,,,
